24169,6749.5
12786,7962.6
17659,9754.1
11304,18500
11566,5444.2
8444.9,20857
20545,13338
13246,22064
12452,4442.2
17657,9748.8
11288,18491
11575,5452.9
13416,15936
8394.7,20886
20522,13333
12452,4484.1
13233,22077
2865.6,19263
3106.5,20027
13237,8373
12450,12213
11292,18492
17657,9765.8
13418,15931
12456,4435.6
3068.8,20049
11566,5458.1
8422.5,20884
20536,13352
11288,18478
20551,13360
11595,5448.1
17632,9775.6
13459,15959
8425,20855
7327.3,17505
13606,14696
3071.8,20028
11297,18490
8422,20885
11560,5441.1
17634,9735.5
13594,14690
13601,15999
3072.2,20007
7761.6,12531
7281.5,17550
22937,3020.5
11313,18480
7773.2,12494
13618,14690
17663,9776.4
8213.4,16925
13632,15984
7359.6,17525
8415.3,20874
11573,5421
3076.1,20004
11836,11909
9867.9,12360
7745.4,12512
13598,14697
11280,18493
7304.2,17557
13601,16017
8435.2,20839
11364,10180
7747.9,12507
13601,14697
2699.4,19883
13606,16019
11302,18458
7323.5,17520
13591,14707
7742.9,12497
11570,5487.8
7277,17512
8406,20645
13581,15991
10922,9539
11544,5433.2
13592,14721
8410.4,20601
7303.5,17521
5091.9,20985
13629,16010
7760.1,12534
10704,11810
5117.7,21006
8321.3,3366.3
13604,14703
11580,5463.2
7308.9,17534
13586,15995
8418.1,20603
15053,10890
8368.5,21871
13241,7722.7
13585,14705
8379.6,20663
13424,22302
8310.4,3364.6
13594,15989
5069.6,21000
7299.9,17544
10303,12589
13094,7736.7
13608,13847
11445,11946
11831,8144.8
8296.3,3333
5114.6,21001
13450,22293
8362.8,21857
8443.1,20669
7301.5,17547
13573,16003
10301,12475
6354,9753.7
20605,12336
12182,8784.5
15009,23296
8294.6,3344.2
11050,16067
7308.9,17534
20234,13905
12348,16886
5086.3,20983
3010.1,19993
15013,23282
13592,16012
8309.8,3325.8
19271,17700
11065,16079
20236,13906
7319.1,17549
8389.3,21870
12352,16903
5111.2,20984
13633,15988
15008,23319
3063.2,20020
12610,8299.1
8297.2,3330.2
19263,17689
13403,14706
7316.6,17567
11045,16052
5105.8,21008
12346,16905
15001,23319
20221,13938
13592,15983
8384.3,21867
24459,6567.1
3037,19970
14985,15018
8302.2,3338.8
19281,17684
21597,16487
13428,14708
